method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.000001,1e-06,0.219,7,8.881784e-16,1.119166e-15,1.252533e-30
taylor,10001,0.010001,1e-06,0.134,7,8.437695e-15,5.043594e-14,2.543784e-27
taylor,20001,0.020001,1e-06,0.148,7,1.443290e-14,4.853701e-14,2.355841e-27
taylor,30001,0.030001,1e-06,0.155,7,2.209344e-14,4.855582e-13,2.357668e-25
taylor,40001,0.040001,1e-06,0.158,7,2.664535e-14,9.924305e-13,9.849182e-25
taylor,50001,0.050001,1e-06,0.156,7,3.574918e-14,1.498955e-12,2.246867e-24
taylor,60001,0.060001,1e-06,0.150,7,4.241052e-14,2.008752e-12,4.035086e-24
taylor,70001,0.070001,1e-06,0.148,7,4.751755e-14,2.518563e-12,6.343159e-24
taylor,80001,0.080001,1e-06,0.151,7,5.517808e-14,3.027419e-12,9.165263e-24
taylor,90001,0.090001,1e-06,0.134,7,6.283862e-14,3.537788e-12,1.251595e-23
taylor,100001,0.100001,1e-06,0.141,7,6.705747e-14,4.048805e-12,1.639282e-23
taylor,110001,0.110001,1e-06,0.164,7,7.460699e-14,4.560526e-12,2.079839e-23
taylor,120001,0.120001,1e-06,2.794,7,7.949197e-14,5.071314e-12,2.571823e-23
taylor,130001,0.130001,1e-06,0.149,7,8.526513e-14,5.581281e-12,3.115069e-23
taylor,140001,0.140001,1e-06,0.136,7,8.948398e-14,6.094313e-12,3.714065e-23
taylor,150001,0.150001,1e-06,0.146,7,9.481305e-14,6.603868e-12,4.361107e-23
taylor,160001,0.160001,1e-06,0.135,7,1.016964e-13,7.116837e-12,5.064937e-23
taylor,170001,0.170001,1e-06,0.072,7,1.080247e-13,7.629820e-12,5.821415e-23
taylor,180001,0.180001,1e-06,0.117,7,1.135758e-13,8.142322e-12,6.629741e-23
taylor,190001,0.190001,1e-06,0.135,7,1.180167e-13,8.656200e-12,7.492980e-23
taylor,200001,0.200001,1e-06,0.111,7,1.230127e-13,9.167269e-12,8.403883e-23
taylor,210001,0.210001,1e-06,0.136,7,1.283418e-13,9.680971e-12,9.372120e-23
taylor,220001,0.220001,1e-06,0.129,7,1.351141e-13,1.019423e-11,1.039224e-22
